Artista;Cancion;Lyrics;Etiqueta;Expresion
cafetacuba;La Locomotora;"  
  
Si los simios hicieran música  
si los reptiles cantaran bajo tu ventana  
coplas de su propia inspiración  
entonces, ¿dónde quedo yo?  
  
Si los árboles lloraran, si se pudieran mover  
si la lluvia reprochara el momento de caer  
si el desierto hiciera versos y en pedazos al calor  
si el calor se detestara y viajara a otra región  
entonces, ¿dónde quedo yo?  
  
Conquisto a la Tierra, domino a la Luna  
descubrí el fuego y los siete mares  
  
Porque, ¿quién comanda y jala este vagón?  
¿quién conduce el gran locomotor?  
porque, ¿quién comanda y jala este barco?  
¿quién escribe de la evolución?  
¿quién conduce el gran locomotor?.  
";0;
polimawestcoast;No Me Dejo Ver;"  
  
No me dejo ver  
Negro el carro mate, brilla el VVS  
Vuelvo y guardo sin usar el GPS  
Lo' mismo' de siempre, pero do' o tre' que se dejaron ver  
Y ahora ven mi Balmain  
'Toy con mi' mandrile', nadie puede joder  
Yo cambié el pronóstico y ahora haré llover  
Demasiado joven para tanto poder, construí mi torre  
  
Pronto en MTV Cribs, yo no recibo tips, yo respondo con hit' (Yeah)  
Siempre estoy con OGs, Kevin y DST enrolando la weed, yeah  
Flow New York, VIP, ay, esto e' New York, sí, ven la Jaguar, baby, yeah  
Y no me hablen así, joseé pa' estar aquí, coronando, baby, yeah  
Y es que arriba 'toy con todo mi dog'  
Con mi fuerza y con la bendición de mi Dios  
Puse a mis hermano' a ver todo el work  
Tengo unos gorila', 'tán negro' como Glock (Pah)  
Cuando llegamo' el mundo dice wow,  
Capsuleando, que se joda toda la cop  
Vendo gramo' por si acaba el stock  
Si no llamo al dealer y al minuto restock  
  
Y ahora sonamo' en carro' alemane' (Brrum)  
Sacar a tu familia adelante, eso lo vale (Prr)  
Par de Glock negra' que son iguale'  
Fumar porro en el estudio, los día' son normale'  
Pero to' los día', mami, no son iguale' (No)  
Cuidate de lo' gile' que en la calle tiran male' (Male')  
La vida e' así, una que entra', otra que sale (Ja)  
Pero si ayuda' a tu mamá, eso el doble vale (Vale)  
Y no confío en gente que usa una máscara (no)  
Flow New York pa' la cima, nadie nos parará (Parará)  
Apuntaban con láser y ahora con cámara' (Prr)  
Ando con lo' que no están pa' las cámara' (Ja)  
  
'Tamo, no ha gira'o  
Y estoy agradecío' por eso, de esta' caída' salgo ileso  
Yo por mis muerto' 'toy preso solo por buscarme el peso, extraño los beso'  
Por la liberta' e' este rezo, y sigo firme como Floyd, duro, malo y tieso  
Y si me veo en cero, los veo y de nuevo y empiezo  
Me siento un BrokeBoi, como mi hermo Polimá  
Lo que prometimo', mi negro, nos veremo' en la cima  
A vece' es la misma pero aparece algo en la cima  
Y mi vitamina caminando por un camino de mina'  
Aunque el Loto ya esté escrito, pero a nadie elimina  
Que el éxito lo tengo encima  
Y está esperando en una esquina, como el famoso John Cena  
Voy a atacarlo y si hay dinero, buscarlo  
Un salu'o al que no hace na', y si llama e' el Carlo'  
Guatón Zurita, el Prieto y el Jairo  
Que aunque no puedan viajar pa' que no exista el arraigo  
Mafia  
Free Shaggy, free Toba y free Gili (Free Shaggy, free Toba y free Gili)  
Y yo, free Juli  
";0;
carlosvives;Robndome La Mente;"  
  
¿En dónde estás?   
pregunto yo a la gente  
Es que tu amor   
murió tan de repente  
  
Tanta pasión   
retorna hasta mi mente  
Hazme sentir   
que aún estás presente  
  
¿Por qué no estás sonriendo como siempre?  
Mirándome, robándome la mente  
¿Por qué no estás besándome la frente?  
Regresa amor, regresa por favor  
  
Vuelve, si aún recuerdas nuestro amor  
Vuelve, olvida los problemas  
No me dejes tan solo sin tu amor  
  
Sin tu calor, mi casa está vacía  
Sin tu mirar, llorando noche y día  
Sin tu ilusión, monótona mi vida  
Regresa amor, regresa por favor  
";0;
anagabriel;Es El Amor Quien Llega;"  
  
Si abrazas a tu almohada  
Si pierdes la nocion  
Si sientes su mirada apuntando al corazon  
Si nada es normal  
Y vez como al reves  
Y todo gira, gira, gira  
Empieza la partida.  
  
Si guardas en tus sueños un sitio para el  
Si esperas por la noche como empieza a amanecer  
Si tu imaginacion ya no te deja respirar  
Y prende fuego, fuego, fuego  
Entonces no hay remedio.  
  
Ay ay ay ay, es el amor quien llega  
Ay ay ay ay, despierta que se va  
El es el unico, magico, frivolo  
Si es el amor apuesta todo al ganador.  
  
Ay ay ay ay, permite que te atrape  
Ay ay ay ay, puede ser un ladron  
El es el unico, picaro, sinico  
Si se presenta una batalla, sale siempre vencedor.  
  
Si miras las estrellas  
Buscando un no sé que  
Si sientes que tus ojos se humedecen sin querer  
Si notas que el calor   
Te viene a golpes de tencion   
Y pega fuerte, fuerte, fuerte,  
Entonces mucha suerte.  
";0;
arcangel;Me Enamor De La Glock;"  
  
Mami antes yo te quería, pero ya no  
El tiempo pasó y el amor cambió, por eso yo  
Tengo una baby nueva, baby nueva (Baby nueva, Baby nueva)  
No me pelea y no me cela (No)  
  
Me enamoré de la glock  
Siempre se queda conmigo  
Nunca me deja solo  
  
Me enamoré del a glock  
Antes yo tenía una  
Ahora tengo dos  
  
Me enamoré de mi puta, la que nuca me suelta  
Si alguien se cruza la línea, te deja tirado en la brea  
No se la presto a nadie, ella tampoco de deja  
Siempre anda conmigo, se pone bien sata y se pone bien suelta  
  
Y par de peines de respuesta, si hay que tirarte se presta  
Ella siempre está dispuesta, le acabo de comprar una chipeta  
Como si le hiciera en las tetas, ahora si que está culeca  
Esperado a que alguien resbale, dejarte tirado piquiando en la cera  
  
Estoy enchulado de mi cuero (sí), le digo así porque quiero (sí)  
Ella es chiquita pero suena por el campo entero  
Con mi negra yo cuento no quiero, te metes con ella, te sueno  
Y si un día nos vemos, ella te tira primero  
  
Ella te suena primero, ella detona primero  
Ella te manda para el hospital toda llena de agujeros  
Aunque termine en una celda, tu vas para la tumba recuerda  
Tu vas a morirte mi herma, aquí la vida no es eterna  
  
Tanto amor me deja en shock  
Mucho gusto, les presento  
Mi novia se llama Glock  
  
";1;"Me enamoré de mi puta, la que nuca me suelta

Ella siempre está dispuesta, le acabo de comprar una chipeta
Como si le hiciera en las tetas, ahora si que está culeca
Esperado a que alguien resbale, dejarte tirado piquiando en la cera
"
anagabriel;Dos Locos De Amor;"  
  
Me deje seducir por ti   
te fuiste enamorando de mí   
y el sol calentaba mas fuerte   
  
También las olas de mar bailaban de amor   
dejando en la arena tus ansias   
la brisa mojaba mi piel   
y lo comprobé amándote ya sin prisas   
  
Ay, ay, ay que lindo es amar y estar muy unidos   
Ay, ay, ay te quiero tener por siempre conmigo   
Ay, ay, ay que lindo es amar y estar muy unidos   
Ay, ay, ay te quiero tener por siempre conmigo   
  
Me daré por entera tu amor   
me amaras porque sabes amar   
y así crecerán nuestras fuerzas   
  
La hoguera arderá de pasión   
y no lograran deberás que el fuego se apague   
seremos dos locos de amor   
que todos verán cantando por todas las calles   
  
";0;
badbunny;LA NOCHE DE ANOCHE;"  
  
Yo sé que esto no volverá a pasar  
Pero si volviera a pasar  
Sé que sería tu debilidad  
Porque la noche de anoche fue  
Algo que yo no puedo explicar  
Eso era dando y dándole sin parar  
Tú me decías que morías por mí  
  
Porque la noche de anoche fue  
Algo que yo no puedo explicar  
Eso era dando y dándole sin parar  
Tú encima de mí  
Yo encima de ti  
  
Tú me dejaste el cuerpo caliente infierno  
Pero me dejaste el corazón frío invierno  
Soñando que contigo es que duermo  
Dime papi  
Dime mami  
  
Esa noche, ¿quién la borra?  
Tú me besaste y se me cayó la gorra  
Sin mucha labia, sin mucha cotorra  
Cuando estoy contigo dejo que la vibra corra  
Y que la luna nos supervise  
Con esa boquita suena rico to' lo que tú me dices  
Hicimos poses que yo jamás nunca hice  
Tú te mojaste pa' que yo me bautice  
Y me ponga serio, serio  
Tú y yo juntos creando un imperio  
Esos ojitos tienen un misterio  
Pero al final nada de lo nuestro fue en serio  
  
Y ya me ha pasao  
Que me han ilusionao  
Y ya me ha pasao  
Que me han abandonao  
Y ya me ha pasao  
Que no estás a mi lao  
Y ya me ha pasao  
  
Que yo me iría otra vez pa' Japón  
Papi, qué penita esto, qué maldición  
La paleta es dulce azúcar de algodón  
Y es la única que me llega hasta el corazón  
  
Ya no me olvida, la suerte está echada  
Se me enredaba el pelo en la pantalla  
Sabe que solo lo hago de leyenda  
Lo subo al cielo, yo soy su Messiah  
El Benito es un diablillo y es un ángel  
Lo tengo jukiao como si fuera tate  
Baby, entre nosotros nunca competimos  
Si preguntan dice, ella to' los records bate  
  
";0;
aventura;Angelito;"  
  
Hasta en un sueño   
Tus deseos intente yo complacer  
Por ti la luna alcance  
Y en mi jornada un angelito me encontre  
Me vio muy triste  
Supo que perdi la fe  
  
En mi sueño no vi un rostro  
Solo lo escuchaba hablar  
Me daba catedra de amor y al escuchar  
Ansiosamente le empezaba a reclamar  
Cual es la clave para que me puedes amar?  
  
Primero me dijo que es un pecado  
Pensar solo en ti  
Segundo que no puedo ni debo aunque quiero  
Dar la vida por ti  
Tercero que mi destino en el amor  
Corre peligro me adviertr de ti  
  
Y cuarto que un exclavo en el amor  
Le pisotean el corazon  
Que aquel que ama pero no demuestra  
To' el carino se prepara para un desliz  
  
El amor es lo mas raro que ha podido existir  
Quien de ti se enamoro  
Lo mas probable ni le pones atencion  
Y otra persona le das una flor,una poesia  
Entregas tu corazon  
Y si ocurre una desilusion  
Pierdes la esencia y la fe en el amor  
  
Esta noche quiero volver a sonar  
A ver si aprendo algo mas  
Y que me salga ese angelito tan divino  
Que me ha venido aconsejar  
";0;
badbunny;Hablamos Manana;"  
  
Yo hago lo que me dé la gana  
Yo fui quien pagó mi cubana  
Yo ni sé cómo tú te llama'  
Chao, hablamo' mañana  
  
(Ey) Una onceta de krippy, con eso me calmo (¡Wuh!)  
Cada coro que tiro se convierte en Salmo (Amén)  
Me tiran pero no me alarmo (Ey, ey, ey, ey, ey)  
Una cubana en el cuello, la otra en cuatro (Wuh)  
Movie (Movie), ya no estamo' en teatro (No)  
Esto me sale fácil, ni lo trato (Easy, easy)  
Si quiero me retiro, estoy hecho hace rato (Huh-uh)  
Mami anda en Mercede', papi en Mercede'  
Mis hermano' en Mercede', to' mis pana' en Mercede'  
Yo ando en la Lambo, si no e' Mercede' (Wuh)  
Toma 30 pa' gas, no vaya' a ser que te quede' (Quede')  
Ya mismo llego a Chile, estoy pasando Quito (Yeh-eh, ¡wuh!)  
Despué' pa Buenos Aire' a visitar par de culito' (Shit, no)  
Los muchacho' en el jet capsuleando, estoy loquito (Yeh-eh, ¡wuh, wuh, wuh!)  
Yo ya ni fumo, y 'toy volao' a lo perrito (Brr, eh), ey  
  
Chao les dije a los gil (Gile')  
Hola les dije a los mil (Mile')  
Hago la mierda que quiero  
La bitch tiene pelo', hago que se depile (-pile), ah  
Mami, le pago los bill (Bille', ah)  
Y no tengo un Richard Mille (Mille, no)  
Pero al final del video no hay ningún joyero que prenda' me pide (Wuh, ja)  
Tú hace' lo que puede' (Puede), yo hago lo que quiero (Wah)  
Como la hipoteca, man, por eso hago dinero (Money)  
Hielo en la cadena (Ice), Sub-Zero (Uh)  
¿Tu cuenta del banco? Hmm, en cero (Ja)  
Siempre estoy ficha'o, movemo' cash, movemo libra' (Wuh, ey)  
En la party me preguntan que si soy de Carolina (Wuh, wah)  
Debe ser por el piquete puro (Ey), como cocaína  
Y porque me la perreo como en una marquesina (Yah, ah, wuh)  
  
¿Cómo te llama' tú? No me acuerdo  
No poder comprar algo ya son recuerdo'  
'Tamo frío' en todo' lado' y no de invierno  
Si tú no me habla' de money, bae, lo siento  
  
Hago lo que me da la gana (Prr, prr, prr, gana)  
No sé por qué ello' me llaman (Llaman)  
No sé quienes son, no conozco su' cara' (Cara)  
Me quieren bajar, se mueren de gana' (Yah-yah-yah-yah)  
Suelto el humo mientra' bajo la ventana, ah  
Lleno de oro, papi, parezco el cigala  
Esto es moda, no es un chaleco antibala'  
En el aeropuerto viajo sin escala  
A mí no me cambia la fama, ah-ah  
Esa otra bitche' prende la rama, ah-ah  
Salgo a cazar fantasma', ah-ah  
Salvo la ciudad como Batman  
Le doy candela (Candela), body like Carmelo (Carmelo)  
Le dediqué un tema (Prr, prr) y la llevé hasta el cielo (Cielo)  
Que no nos importe nada (Nada), hagamo' lo que da la gana  
Baby, te quiero en mi cama, cuando quiera' tú me llama'  
";1;"Yo fui quien pagó mi cubana

Una cubana en el cuello, la otra en cuatro

Despué' pa Buenos Aire' a visitar par de culito' (Shit, no)

La bitch tiene pelo', hago que se depile (-pile), ah

Esa otra bitche' prende la rama, ah-ah
"
arcangel;Que Le Den;"  
  
yo  
Arcangel pa  
Papi  
Arca  
Ese soy yo  
Oye, ¿por qué sera?  
  
Ella viene donde mi  
Cada vez que quiere tabla  
Se aburre con su novio  
Porque mucho le habla (you know)  
  
Yo soy un hombre de pocas palabras  
Analizo tu piel y pienso en cosas macabras  
Que suavemente quiero hacerle a tu body  
Por eso siempre me concentro en tu booty  
Yupi, tu me pones contento como snoopy  
Fanático a tu cuerpo yo soy tu groupy  
  
Y chula, tu eres otra cosa super hermosa  
Tu me tienes mas swing que Samy Sosa  
Cuando me baila en la loza  
Me rozas con tu parte de atrás  
Baby muy poderosa  
  
Esta canción es exclusivamente  
para todas aquellas personas  
que les gusta hacer el amor  
pero algo bien hecho  
  
Ellas me piden  
Que le den  
Que le den  
Que le den  
Y yo como soy bueno  
Le doy  
Le doy  
Le doy  
  
Y yo quisiera cantarte  
Improvisarte  
Con mi brocha pintarte  
Hacértelo con arte  
  
Mis ojos se hicieron pa’ mirarte  
Mis manos para acariciarte  
Y tu vas a ver  
Que un besito en la boquita voy a darte  
Mucho, mucho se que no vas a cansarte  
Y me deslizo contigo sin compromiso  
Te llevo al éxtasis mas allá del paraíso  
  
Fanático de tu cuerpo  
Yo soy tu groupy  
  
Prrra  
Mambo Kingz  
Mambo Kingz  
Pina Records  
La Marash  
Di di di diselo Luian  
Sentimiento, Elegancia & Maldad  
Flow Factory  
Arcangel pa  
";1;"Ella viene donde mi
Cada vez que quiere tabla
Se aburre con su novio
Porque mucho le habla (you know)

Ellas me piden
Que le den
Que le den
Que le den
Y yo como soy bueno
Le doy
Le doy
Le doy
"
juangabriel;No Apaguen La Luz;"  
  
No apaguen la luz  
Más allá del cielo  
De la luna llena  
De esos dos luceros  
Más allá del sol  
  
Más allá del todo  
De ese mar de estrellas  
De esos seis planetas  
De ahí vengo yo  
  
Entre Mercurio, Urano y Plutón  
Yo tenía un planeta y él era mi hogar  
Pero una guerra que se desato  
Apago la luz  
  
Alrededor de Saturno quedo  
Mi planeta Tierra en pedazos esta  
Gire y gire en torno de su alrededor  
Ese fue su fin  
  
Pido que ya  
No apaguen la luz  
Vengan a Xel–ha  
Vengan a Tulúm  
Ya no apaguen la luz  
Vengan a Xcaret  
Vengan a Cancún  
  
Unos se fueron a Cetus y Orión  
Otros se marcharon a Volan y Aran  
A mi me trajeron a tierra de sol  
Y ahora estoy aquí  
";0;
cafetacuba;Zopilotes;"  
  
Lo vieron caer del cielo bola de metal y fuego,  
cayó allá arriba allá en el cerro,  
carne para carroñeros,  
  
los zopilotes en círculo van  
localizando en sitio fatal,  
los zopilotes en círculo van  
hoy de la muerte.. se alimentarán  
  
Los cuerpos ya chamuscados,  
alguno cortado en tajos  
no parecen ser humanos  
Dijo un zopilote sabio.  
  
Los zopilotes en círculo están  
nadie se atreve el primero a probar,  
los zopilotes admirados están,  
nadie esperaba esto encontrar...  
  
Ay  
metal retorcido  
Sangre de otro color  
  
Ay  
lo desconocido  
dijo un zopilote:  
Yo me voy  
Lo siguieron todos con temor, con mucho temor  
  
Un zopilote se queda,  
para ver que carroñéa,  
no teme la diferencia  
al contrario la venera,  
  
Un zopilote picoteando está,  
carne que tiene un sabor especial,  
el zopilote comienza a pensar:  
¿allá en las estrellas que más habrá?  
Vuelas estrellas, vamos hacia allá  
";0;
alejandrofernandez;Unas Nalgadas;"  
  
Permiso, permiso, permiso  
no los vaya a lastimar con los cuernos  
  
Unas nalgadas con pencas de nopal  
es lo que ocupas por falsa y traicionera  
como te amaba que bruto que animal  
como fui a dar mi amor a la ligera  
  
Unas nalgadas con pencas de nopal  
una lección es la que te mereces  
me hiciste daño  
se que me hiciste mal  
sacaste el cobre y los negros intereses  
  
Vas a sufrir, vas a llorar  
talvez no extrañes ni me besos  
pero vas a extrañar mis pesos  
(Poquitos, pero no me los dio mi apá  
me los gane solito)  
  
báilele, báilele  
  
Unos rasguños con espina de maguey  
hoy se me antoja jugar gato en tus cachetes  
me hacías cajito y luego me 'hicites' guey  
ya te veré empeñando los aretes  
  
Un gargarismo con tachuelas y aguarrás  
hoy voy a echarme pa' borrarme ya tus besos  
estoy contento porque se que hoy que te vas  
también me iré también por ahí tras otros huesos  
";1;"Vas a sufrir, vas a llorar
talvez no extrañes ni me besos
pero vas a extrañar mis pesos"
alejandrosanz;Una noche;"  
  
Despues de pensar, despues de ver  
Admito lo de andar sobre el agua del mar  
Tibia claridad  
Que vi por mi calle pasar  
Sin saber que hacer, si sentir o pensar  
  
Solo que aun hoy sigo  
Aun hoy sigo atandome a ti  
  
Aun hoy mi amor te doy  
Mi cuerpo con alma  
Se esconde del sol  
De noche se escapa  
Aun hoy te doy  
Mi cuerpo con alma  
Aun hoy, aun hay  
  
Que esconde la noche  
Va aguardar entre nosotros dos  
O sentir o pensar  
Se me lleno de luz la noche  
Es porque yo vine a dar  
Delfines en tu voz  
Y sentir sin pensar  
  
Solo que aun hoy sigo  
Aun hoy sigo amandote a ti  
  
Aun hoy, mi amor  
Aun hay dos cuerpos con alma  
Se esconden del sol  
De noche se escapan  
De noche se dan  
Los cuerpos, las alma  
Aun hoy, aun hay  
  
Solo que aun hoy sigo  
Aun hoy sigo amandote a ti  
  
Aun hoy, aun hay  
";0;
antonioaguilar;Cuatro Milpas;"  
  
Cuatro milpas tan sólo han quedado  
Del ranchito que era mío, ay!  
De aquella casita tan blanca y bonita  
Lo triste que está  
  
Los potreros están sin ganado  
La laguna se seco  
La cerca de alambre que estaba en el patio  
Tambien se cayo  
  
Me prestaras tus ojos, morena  
Los llevo en el alma, que miren allá  
Los despojos de aquella casita  
Tan blanca y bonita lo triste que está  
  
Las cosechas quedaron perdidas  
Toditito se acabó, ay!  
Ya no hay palomas, ni flores ni aromas  
Ya todo acabó  
  
Las palmeras lloraban su ausencia  
La laguna se seco ay ahy  
Los piones y arrieros  
Toditos se fueron y nadie quedo  
Por eso estoy triste morena  
Por eso me pongo muy triste a llorar  
Recordando las tardes felices  
Que los dos pasamos en aquel lugar...  
";0;
carlosvives;Agua;"  
  
Agua  
  
He andado muchos caminos  
He buscado mil tesoros  
Yo te digo que la vida  
vale más que todo el oro  
  
Dicen que vivo en la luna  
que casi no tengo nada  
Yo tengo una gran fortuna  
y es la vida enamorada  
  
Agua que no has de beber  
déjala correr  
  
Mi cama será de hierba  
Mi techo será de estrellas  
Mi casa cualquier camino  
mi patria toda la tierra  
";0;
anagabriel;Amor;"  
  
Amor, sin necesidad de pensar en nada mas,   
solos tu y yo en la habitación, olvidándonos del tiempo   
Amor, es desconectar los cables de la razón,   
no preguntar jamas de donde vienes donde vas   
  
Amor, si hay una canción que te pueda describir   
esta dentro de mi y dentro de ti, esperando ser cantada   
Amor, es volver a ser como niña otra vez   
y no puedes fallar, pues es la única verdad   
  
Es amor es solo amor, el sueño mas real   
es amor es solo amor, lo que nos hace cambiar   
fuera de el, no se que hacer, ya no puedo escapar   
  
Amor, sin necesidad de pensar en nada mas   
todo marcha bien con la libertad que nos damos uno al otro   
amor, es reconocer cuando tienes un error y no pedir perdón   
solo buscar la solución    
  
Es amor, es solo amor, el sueño mas real   
es amor, es solo amor, lo que nos hace cambiar   
fuera de el no se que hacer, mi mundo esta al revés   
  
Amor, amor, amor  
";0;
anuelaa;Nubes Negras;"  
  
Real hasta la muerte, baby  
Real  
Yeah (Real hasta la muerte, baby)  
  
No quiero despedirme, yeah (Yeah)  
Pero me voy antes de que vaya' a herirme, yeah  
Por mí voy a irme, yeah, yeah (Uah)  
Y cuándo pase lo que pase espero no arrepentirme (Uah, uah)  
  
Baby, tu cielo está pintando nube' negra' (Yeah)  
Y la tormenta tarde o temprano, llega (Yeah, yeah, yeah, yeah)  
No lo tome' a mal (No lo tome' a mal)  
Yo me voy ante' que tú me enseñe' a odiar (Me enseñe' a odiar, wooh)  
Baby, tu cielo está pintando nube' negra' (Yeah, yeah, yeah, yeah)  
Y la tormenta tarde o temprano, llega (Yeah, yeah, yeah, yeah)  
No lo tome' a mal (Ahh)  
Yo me voy ante' que tú me enseñe' a odiar, yeah (Wooh)  
  
Estoy a punto de irme (Irme), yeah  
Aunque sé que en tu mano estoy mejor (Yeah)  
Y aún yo sigo firme, yeah (Yeah, yeah, yeah, yeah)  
Pero quiero que ya se muera el amor (Amor)  
Ya no te necesito (-sito)  
Y ya no vale nada nuestro equipo, no  
Mami, mira lo que hiciste (-ciste)  
Cogiste nuestro amor y lo jodiste, yeah, yeah (Yeah, yeah)  
  
Baby, ya no me busque má'  
No pida' lo que tú no da' (No, no)  
Ya no te justifique má'  
Te dí mi corazón y lo volviste en na'  
Ya no siento na' (Na', na')  
Y tú jode' con cojone' (Con cojone')  
  
Voy a hacer lo que me salga 'e lo cojone', yeah  
Y ya no escuche mi' cancione'  
Que a tu nombre vo'a prender mile' de brone', yeah (Yeah, yeah)  
  
Baby, ya no me busque má'  
No pida' lo que tú no da' (No, no)  
Ya no te justifique má' (No, no)  
Te dí mi corazón y lo volviste en na'  
Ya no siento na' (Na', na')  
Y tú jode' con cojone' (Con cojone')  
  
Voy a hacer lo que me salga 'e lo cojone', yeah, yeah (Yeah)  
Y tú jode' con cojone' (Brr)  
  
Y en lo' ojo' se te ve que miente' (Que miente')  
Lo noto cuando te veo de frente (De frente)  
Y yo no quiero un final deprimente' (No, no)  
Por eso e' que definitivamente  
  
No quiero despedirme (Uah, uah), yeah  
Pero me voy ante' que vaya' a herirme (Yeah), yeah (Yeah, yeah, yeah, yeah)  
  
Real hasta la muerte, baby  
Baby  
Mami  
Anuel  
¡Brr  
";0;
alejandrosanz;Se Lo Dices T;"  
  
Se destapa, me destapa  
Hace un mapa de mi cara  
Está dentro de sus ojos  
El reproche de su alma  
No hace falta que me diga nada  
Me basta con su mirada  
Cuando no la tengo enfrente  
Hago un mapa de su cara  
Está dentro de mis ojos  
Pero se derrama, se derrama  
Y con su mirada  
De cualquier tormenta soy capaz de hacer un cielo azul  
Pero cuando se levante, niña, se lo dices tú  
Se lo, se lo dices tú  
  
Y si no descansa su alma  
En silencio me transformo  
Que no le moleste el mundo  
No hace falta que me digan nada  
Para arreglar sus alas  
Me basta con su mirada  
Serena va en el aire  
Y no hay paz en esta calma  
Menos mal que somos dos para extrañarla  
Y se me derrama y con su mirada  
De cualquier tormenta soy capaz de hacer un cielo azul  
Pero, pero cuando se levante, niña, se lo dices tú  
Se lo, se lo dices tú  
  
Que a mí me falta la fuerza y el coraje, se lo dices tú  
Se lo explicas tú, que sabes  
Se lo dices tú, se lo dices tú, con tus ojos  
Que a ti qué más te da, se lo dices tú  
Porque no me dejes a mí, con ese corazón  
Se lo, se lo dices tú  
  
Yo no encuentro una razón  
Para hablar de ti  
Hace falta una canción  
Que te estoy escribiendo, niña  
Lo que pasa es que siempre te hablo  
Cuando estás más dolida  
";0;
anagabriel;Todo Termino;"  
  
Ni los aniversarios   
ni los cumpleaños   
nos motiva ya mm, mm   
  
El cansancio le gano al amor   
y todo se volvio tan frio   
amanecer de espalda a espalda ya es rutina   
y ninguno pudo darse cuenta que fallamos   
y todo termino   
  
Nada queda de este amor   
fueron tantos los motivos   
solo que ninguno supo como hacer   
  
Ahora como dos extraños   
sin palabras por decir   
pero la verdad que todo termino   
oh si, ahh, todo termino   
  
Ya las tardes sin vida   
y las noches sin luna   
que tristeza dan mm, mm   
  
El invierno que se acerca mas   
y el frio que nos cubre el alma   
a nadie de los dos nos quedan ilusiones   
y es que es tiempo que nos demos cuenta   
que fallamos y que todo termino   
";0;
polimawestcoast;Robabitches;"  
  
Wuh-uh (Yeah, yeah, ey)  
Yeah (Yeah, money, yeah, uh)  
Esskeetit (Why)  
Yeah, yeah (Why-ey)  
Yeah, yeah  
  
Yo me robé a tu mujer (Ey)  
Porque tú no la sabes querer (Okey)  
Ella conmigo te está engañando (Ey, ey)  
Porque sola tú la estás dejando (Yeah, yeah)  
  
Me la paso robando putas  
Conmigo te engaña y se lo disfruta (Uh)  
La tengo brincando encima de mi cama (Yeah, yeah)  
Besándote después que a mí me lo mama  
Ese negro es un cuernu' (Cuernu')  
Tú te tocas viéndome en YouTube porque la excito má'-ah que tú  
La beso entera sin dejar ningún espacio  
Y dice que cuando se-eh lo meto se siente volando en el espacio  
Mis vasos de lean en tus teta'  
Me llama pa' que se-eh lo meta, ey  
  
Guácala, uh, míralo, ew  
Pero qué mal gusto tienes tú (Yah)  
Desde que te vi fue un déjà vu  
Ese bobo quiere entrar al club (Ew)  
Dime lo que piensas, ah  
¿Qué hago pa' que te convenza? (Why)  
Sé que te gustan mis trenza' (Bitch)  
Apúrate, viene la prensa (Ah)  
  
Ella tiene zeze y no sé por qué  
Ya no tiene nada, menos toque  
Tú que ahora lo dice' todo torpe  
¿Dónde e' eso que quiere darle un golpe?  
  
Di que soy tu amigo imaginario como Boo (Why)  
Que no soy el mismo rocker que te sale en YouTube (Ah)  
Ese bobo con cara de imbécil, un cuernu' (Skrrt)  
No entiende que tú eres mi secreto, mi tabú (Why)  
  
Yo me robé a tu mujer  
Porque tú no la sabes querer  
Ella conmigo te está engañando  
Porque sola tú la estás dejando  
";1;"Me la paso robando putas
Conmigo te engaña y se lo disfruta (Uh)
La tengo brincando encima de mi cama (Yeah, yeah)
Besándote después que a mí me lo mama

Yo me robé a tu mujer
Porque tú no la sabes querer"
juangabriel;Ya Te Perd;"  
  
Si nosotros nos hubiéramos casado  
hace tiempo cuando yo te lo propuse  
no estarías hoy sufriendo ni llorando  
por aquel humilde amor que yo te tuve  
caray cuando te tuve, cuando te tuve.  
  
Pero tu me abandonaste por ser pobre  
te casaste con un viejo que es muy rico  
y llore, y llore y llore noche tras noche, caray  
noche tras noche, caray, noche tras noche.  
  
Ahora soy yo quien vive feliz  
formé un hogar cuando te perdí  
después, después yo te olvidé y te perdoné  
y no puedo hacer  
ya nada por ti, ya nada por ti, ya nada por ti.  
  
Con el tiempo a ti también te abandonaron  
y ahora vives infeliz y desgraciada  
muy sola y muy triste te dejaron  
y sin dinero, sin él, sin mi, sin nada, caray,  
sin dinero, caray, sin mi, sin nada  
  
Todo por casarte con un rico  
hoy sabes que el dinero no es la vida  
ni la felicidad quedo muy tarde, caray,  
lo has comprendido, caray, lo has comprendido.  
";1;"Pero tu me abandonaste por ser pobre
te casaste con un viejo que es muy rico
y llore, y llore y llore noche tras noche caray
noche tras noche, caray noche tras noche.
"
cafetacuba;El Polen;"  
  
No puede tener mucho encanto ser polen y poder volar  
nadie sabe que con mi canto la vida se va en lamentar  
y el fuego se va encendiendo y en calor me vuelvo  
yo  
  
y el dia se va poniendo y con el me acuesto yo  
y el polen entro en el agua y toda se la trago  
nadie le dijo nada su estomago la disolvio  
  
y lentos y silenciosos parecen los meses si  
y parece que hay algo que decide mi porvenir  
y cai en una horquidea y de el tallo me estire  
  
hoy el cielo me envidio por que lo revase  
y mis frutos dispersos de las copas con lentitud  
caen con tonos espesos perdiendo su juventud  
y lentos y silenciosos parecen los años si  
y mientras mas me lamento necesito del porvenir  
";0;
